"Species","variable","value","Onto","Model"
"HELIDAC_adult","Chlorophyll a",0.000347879814153852,"adult","Presence-Absence"
"LOPHBUD_juvenile","Chlorophyll a",0.00258476339079851,"juvenile","Presence-Absence"
"LOPHBUD_adult","Chlorophyll a",0.0347063389203523,"adult","Presence-Absence"
"PAGEBOG_juvenile","Chlorophyll a",0.00776848872241608,"juvenile","Presence-Absence"
"PAGEBOG_adult","Chlorophyll a",0.0186932234312582,"adult","Presence-Absence"
"PHYIBLE_juvenile","Chlorophyll a",0.00337204711773497,"juvenile","Presence-Absence"
"PHYIBLE_adult","Chlorophyll a",0.00158148816234709,"adult","Presence-Absence"
"TRACTRA_juvenile","Chlorophyll a",0.000295480367746978,"juvenile","Presence-Absence"
"TRACTRA_adult","Chlorophyll a",0.00287008044096704,"adult","Presence-Absence"
"SCYOCAN_juvenile","Chlorophyll a",0.00623706619142501,"juvenile","Presence-Absence"
"SCYOCAN_adult","Chlorophyll a",0.00177240342175958,"adult","Presence-Absence"
"TORPMAR_juvenile","Chlorophyll a",0.00196044772221975,"juvenile","Presence-Absence"
"BOOPBOO_juvenile","Chlorophyll a",0.000330117209016316,"juvenile","Presence-Absence"
"BOOPBOO_adult","Chlorophyll a",0.00082895764306776,"adult","Presence-Absence"
"MERLMER_juvenile","Chlorophyll a",0.000435653066373087,"juvenile","Presence-Absence"
"MERLMER_adult","Chlorophyll a",0.00076621657151134,"adult","Presence-Absence"
"MULLSUR_juvenile","Chlorophyll a",0.00441237161294833,"juvenile","Presence-Absence"
"MULLSUR_adult","Chlorophyll a",0.00444759643328004,"adult","Presence-Absence"
"PAGEACA_juvenile","Chlorophyll a",0.00121815204251676,"juvenile","Presence-Absence"
"PAGEACA_adult","Chlorophyll a",0.0260352792601758,"adult","Presence-Absence"
"SCOMPNE_juvenile","Chlorophyll a",0.0010262347771847,"juvenile","Presence-Absence"
"SCOMPNE_adult","Chlorophyll a",0.00573681419014517,"adult","Presence-Absence"
"MULLBAR_juvenile","Chlorophyll a",0.00032378449335177,"juvenile","Presence-Absence"
"MULLBAR_adult","Chlorophyll a",0.00120363417534466,"adult","Presence-Absence"
"PAGEERY_juvenile","Chlorophyll a",0.000819425291615985,"juvenile","Presence-Absence"
"PAGEERY_adult","Chlorophyll a",0.00158924299068297,"adult","Presence-Absence"
"SPARPAG_juvenile","Chlorophyll a",0.002163673494092,"juvenile","Presence-Absence"
"SPARPAG_adult","Chlorophyll a",0.00227185963644712,"adult","Presence-Absence"
"TRIPLAS_juvenile","Chlorophyll a",0.00453640553233807,"juvenile","Presence-Absence"
"TRIPLAS_adult","Chlorophyll a",0.0065649007554388,"adult","Presence-Absence"
"ASPICUC_juvenile","Chlorophyll a",0.00104002196291023,"juvenile","Presence-Absence"
"ASPICUC_adult","Chlorophyll a",0.00122619459924537,"adult","Presence-Absence"
"CITHMAC_juvenile","Chlorophyll a",0.00217430308115396,"juvenile","Presence-Absence"
"CITHMAC_adult","Chlorophyll a",0.000373876675932626,"adult","Presence-Absence"
"TRACMED_juvenile","Chlorophyll a",0.000326505699928159,"juvenile","Presence-Absence"
"TRACMED_adult","Chlorophyll a",0.011703437451622,"adult","Presence-Absence"
"RAJAOXY_adult","Chlorophyll a",0.0177270256445564,"adult","Presence-Absence"
"MICMPOU_juvenile","Chlorophyll a",0.00577429892772372,"juvenile","Presence-Absence"
"MICMPOU_adult","Chlorophyll a",0.000908278490354056,"adult","Presence-Absence"
"ENGRENC_juvenile","Chlorophyll a",0.0021896409447385,"juvenile","Presence-Absence"
"ENGRENC_adult","Chlorophyll a",9.22257051738269e-05,"adult","Presence-Absence"
"DIPLVUL_adult","Chlorophyll a",0.000464329256734622,"adult","Presence-Absence"
"LEPMBOS_juvenile","Chlorophyll a",0.00788476162872556,"juvenile","Presence-Absence"
"LEPMBOS_adult","Chlorophyll a",0.00915940671274824,"adult","Presence-Absence"
"DIPLANN_juvenile","Chlorophyll a",0.000527132146191644,"juvenile","Presence-Absence"
"DIPLANN_adult","Chlorophyll a",0.000269026166766269,"adult","Presence-Absence"
"SARDPIL_juvenile","Chlorophyll a",0.00221667213311678,"juvenile","Presence-Absence"
"SARDPIL_adult","Chlorophyll a",0.00214103089309246,"adult","Presence-Absence"
"SCYMLIC_adult","Chlorophyll a",0.00341584273245544,"adult","Presence-Absence"
"ZEUSFAB_juvenile","Chlorophyll a",0.0190035899252414,"juvenile","Presence-Absence"
"ZEUSFAB_adult","Chlorophyll a",0.0102825898254362,"adult","Presence-Absence"
"SPICMAE_adult","Chlorophyll a",0.00121548925878533,"adult","Presence-Absence"
"SCOMSCO_juvenile","Chlorophyll a",0.00696046027125042,"juvenile","Presence-Absence"
"SCOMSCO_adult","Chlorophyll a",0.00524599553209434,"adult","Presence-Absence"
"LOPHPIS_juvenile","Chlorophyll a",0.00625001824703108,"juvenile","Presence-Absence"
"LOPHPIS_adult","Chlorophyll a",0.0230989100715198,"adult","Presence-Absence"
"TRIGLUC_juvenile","Chlorophyll a",0.00483266059052691,"juvenile","Presence-Absence"
"TRIGLUC_adult","Chlorophyll a",0.0100847735595491,"adult","Presence-Absence"
"TRISCAP_juvenile","Chlorophyll a",0.000577215918942416,"juvenile","Presence-Absence"
"TRISCAP_adult","Chlorophyll a",0.000520076774208176,"adult","Presence-Absence"
"SPICFLE_juvenile","Chlorophyll a",0.016499388727028,"juvenile","Presence-Absence"
"SPICFLE_adult","Chlorophyll a",0.0170813884769082,"adult","Presence-Absence"
"SPICSMA_juvenile","Chlorophyll a",0.0314846829873643,"juvenile","Presence-Absence"
"SPICSMA_adult","Chlorophyll a",0.0289709869480445,"adult","Presence-Absence"
"SOLEVUL_juvenile","Chlorophyll a",0.000942633480090839,"juvenile","Presence-Absence"
"SOLEVUL_adult","Chlorophyll a",0.00115460226110744,"adult","Presence-Absence"
"RAJACLA_juvenile","Chlorophyll a",0.000718382075060372,"juvenile","Presence-Absence"
"RAJACLA_adult","Chlorophyll a",0.000345803675538343,"adult","Presence-Absence"
"ARNOLAT_adult","Chlorophyll a",0.0069745724381196,"adult","Presence-Absence"
"BLENOCE_juvenile","Chlorophyll a",0.00361735772088247,"juvenile","Presence-Absence"
"CAPOAPE_juvenile","Chlorophyll a",0.00296114822618447,"juvenile","Presence-Absence"
"CAPOAPE_adult","Chlorophyll a",0.00302698861039077,"adult","Presence-Absence"
"CEPOMAC_adult","Chlorophyll a",0.000709341681775893,"adult","Presence-Absence"
"CONGCON_adult","Chlorophyll a",0.00523684594500909,"adult","Presence-Absence"
"GOBIQUA_adult","Chlorophyll a",0.0031946748219991,"adult","Presence-Absence"
"LEPTCAV_juvenile","Chlorophyll a",0.00119844314654405,"juvenile","Presence-Absence"
"LEPTCAV_adult","Chlorophyll a",0.00043030092813673,"adult","Presence-Absence"
"SERAHEP_juvenile","Chlorophyll a",0.00372000250330626,"juvenile","Presence-Absence"
"SERAHEP_adult","Chlorophyll a",0.00442605475811396,"adult","Presence-Absence"
"TRAHDRA_adult","Chlorophyll a",0.000196996544124137,"adult","Presence-Absence"
"URANSCA_adult","Chlorophyll a",0.00197791840280652,"adult","Presence-Absence"
"ARNORUP_adult","Chlorophyll a",0.000616100291430564,"adult","Presence-Absence"
"ARNOTHO_juvenile","Chlorophyll a",0.00340715166945848,"juvenile","Presence-Absence"
"GADIARG_adult","Chlorophyll a",0.00370980752715608,"adult","Presence-Absence"
"LEPICAU_adult","Chlorophyll a",0.00726100766448089,"adult","Presence-Absence"
"MACOSCO_adult","Chlorophyll a",0.00403669517120196,"adult","Presence-Absence"
"SERACAB_juvenile","Chlorophyll a",0.000551257876483325,"juvenile","Presence-Absence"
"SERACAB_adult","Chlorophyll a",0.000276642861320509,"adult","Presence-Absence"
"SCORNOT_adult","Chlorophyll a",0.000555882250588436,"adult","Presence-Absence"
"ARGRHEM_adult","Chlorophyll a",0.00278135844409884,"adult","Presence-Absence"
"LAMACRO_juvenile","Chlorophyll a",0.00166924977125224,"juvenile","Presence-Absence"
"LAMACRO_adult","Chlorophyll a",0.00166038443337131,"adult","Presence-Absence"
"NEZUAEQ_juvenile","Chlorophyll a",0.00473253556557423,"juvenile","Presence-Absence"
"COELCOE_juvenile","Chlorophyll a",0.00532570149706504,"juvenile","Presence-Absence"
"HYMEITA_adult","Chlorophyll a",0.00114117305027188,"adult","Presence-Absence"
"CALMPHA_juvenile","Chlorophyll a",0.00140351784650354,"juvenile","Presence-Absence"
"CALMPHA_adult","Chlorophyll a",0.000899038213734088,"adult","Presence-Absence"
"RAJAAST_adult","Chlorophyll a",0.00270865791293351,"adult","Presence-Absence"
"TRIGLYR_juvenile","Chlorophyll a",0.014759992493392,"juvenile","Presence-Absence"
"SCORSCO_adult","Chlorophyll a",0.00194842089058955,"adult","Presence-Absence"
"RAJAMIR_juvenile","Chlorophyll a",0.00842345209263872,"juvenile","Presence-Absence"
"RAJAPOL_juvenile","Chlorophyll a",0.0020669897019512,"juvenile","Presence-Absence"
"RAJAPOL_adult","Chlorophyll a",0.00382055759160621,"adult","Presence-Absence"
"EUTRGUR_juvenile","Chlorophyll a",0.00229184564175278,"juvenile","Presence-Absence"
"EUTRGUR_adult","Chlorophyll a",0.00542182319828144,"adult","Presence-Absence"
"SQUABLA_juvenile","Chlorophyll a",0.0253709180833334,"juvenile","Presence-Absence"
"SQUABLA_adult","Chlorophyll a",0.0305638118855423,"adult","Presence-Absence"
"RAJABRA_juvenile","Chlorophyll a",0.00300287335574119,"juvenile","Presence-Absence"
"SPRASPR_adult","Chlorophyll a",0.000616064357448193,"adult","Presence-Absence"
"DIAPMET_adult","Chlorophyll a",0.00856537408137111,"adult","Presence-Absence"
"GONODEN_adult","Chlorophyll a",0.0205705236990949,"adult","Presence-Absence"
"ETMOSPI_juvenile","Human pressures",0.00392775812275465,"juvenile","Presence-Absence"
"ETMOSPI_adult","Human pressures",0.00265174971875074,"adult","Presence-Absence"
"GALUMEL_juvenile","Human pressures",0.00492371715251692,"juvenile","Presence-Absence"
"GALUMEL_adult","Human pressures",0.00569951595337518,"adult","Presence-Absence"
"HELIDAC_juvenile","Human pressures",0.00279863265113189,"juvenile","Presence-Absence"
"HELIDAC_adult","Human pressures",0.00435044209768617,"adult","Presence-Absence"
"LOPHBUD_juvenile","Human pressures",0.00627255646961055,"juvenile","Presence-Absence"
"LOPHBUD_adult","Human pressures",0.012018198730592,"adult","Presence-Absence"
"PAGEBOG_juvenile","Human pressures",0.0698516011326903,"juvenile","Presence-Absence"
"PAGEBOG_adult","Human pressures",0.00148894765659008,"adult","Presence-Absence"
"PHYIBLE_juvenile","Human pressures",0.00686346863650333,"juvenile","Presence-Absence"
"PHYIBLE_adult","Human pressures",0.00922086595375376,"adult","Presence-Absence"
"TRACTRA_juvenile","Human pressures",0.00583337951658954,"juvenile","Presence-Absence"
"TRACTRA_adult","Human pressures",0.00846060105991353,"adult","Presence-Absence"
"SCYOCAN_juvenile","Human pressures",0.0148234103192087,"juvenile","Presence-Absence"
"SCYOCAN_adult","Human pressures",0.0113226699474533,"adult","Presence-Absence"
"TORPMAR_juvenile","Human pressures",0.0209543198405525,"juvenile","Presence-Absence"
"BOOPBOO_juvenile","Human pressures",0.00222175495667731,"juvenile","Presence-Absence"
"BOOPBOO_adult","Human pressures",0.00438824516678887,"adult","Presence-Absence"
"MERLMER_juvenile","Human pressures",0.00443630151695977,"juvenile","Presence-Absence"
"MERLMER_adult","Human pressures",0.00662858674091651,"adult","Presence-Absence"
"MULLSUR_juvenile","Human pressures",0.0075036395910169,"juvenile","Presence-Absence"
"MULLSUR_adult","Human pressures",0.0108783919216596,"adult","Presence-Absence"
"PAGEACA_juvenile","Human pressures",0.00811506949376294,"juvenile","Presence-Absence"
"PAGEACA_adult","Human pressures",0.0136129229632721,"adult","Presence-Absence"
"SCOMPNE_juvenile","Human pressures",0.00554372998211381,"juvenile","Presence-Absence"
"SCOMPNE_adult","Human pressures",0.0107917173269353,"adult","Presence-Absence"
"MULLBAR_juvenile","Human pressures",0.000620217689688231,"juvenile","Presence-Absence"
"MULLBAR_adult","Human pressures",0.00183722833610215,"adult","Presence-Absence"
"PAGEERY_juvenile","Human pressures",0.00232596653851922,"juvenile","Presence-Absence"
"PAGEERY_adult","Human pressures",0.00555221689793975,"adult","Presence-Absence"
"SPARPAG_juvenile","Human pressures",0.0254041728194417,"juvenile","Presence-Absence"
"SPARPAG_adult","Human pressures",0.0655490417778835,"adult","Presence-Absence"
"TRIPLAS_juvenile","Human pressures",0.0132821764558245,"juvenile","Presence-Absence"
"TRIPLAS_adult","Human pressures",0.007939377832908,"adult","Presence-Absence"
"ASPICUC_juvenile","Human pressures",0.0212897069282656,"juvenile","Presence-Absence"
"ASPICUC_adult","Human pressures",0.0179525885730894,"adult","Presence-Absence"
"CITHMAC_juvenile","Human pressures",0.00186839754592111,"juvenile","Presence-Absence"
"CITHMAC_adult","Human pressures",0.00864383574356805,"adult","Presence-Absence"
"TRACMED_juvenile","Human pressures",0.00269494172521696,"juvenile","Presence-Absence"
"TRACMED_adult","Human pressures",0.00222385359950189,"adult","Presence-Absence"
"RAJAOXY_adult","Human pressures",0.110035271517501,"adult","Presence-Absence"
"MICMPOU_juvenile","Human pressures",0.00537564777151805,"juvenile","Presence-Absence"
"MICMPOU_adult","Human pressures",0.00367501247226676,"adult","Presence-Absence"
"ENGRENC_juvenile","Human pressures",0.00741065691179508,"juvenile","Presence-Absence"
"ENGRENC_adult","Human pressures",0.00520017349500855,"adult","Presence-Absence"
"DIPLVUL_adult","Human pressures",0.00343798105165517,"adult","Presence-Absence"
"LEPMBOS_juvenile","Human pressures",0.00319940845801779,"juvenile","Presence-Absence"
"LEPMBOS_adult","Human pressures",0.00525975205154217,"adult","Presence-Absence"
"DIPLANN_juvenile","Human pressures",0.00205991905235579,"juvenile","Presence-Absence"
"DIPLANN_adult","Human pressures",0.00150969821125429,"adult","Presence-Absence"
"SARDPIL_juvenile","Human pressures",0.00315445049067977,"juvenile","Presence-Absence"
"SARDPIL_adult","Human pressures",0.00299080702380082,"adult","Presence-Absence"
"SCYMLIC_adult","Human pressures",0.0044272199218572,"adult","Presence-Absence"
"ZEUSFAB_juvenile","Human pressures",0.0138077694503822,"juvenile","Presence-Absence"
"ZEUSFAB_adult","Human pressures",0.0190322018229997,"adult","Presence-Absence"
"SPICMAE_adult","Human pressures",0.0110301007007403,"adult","Presence-Absence"
"SCOMSCO_juvenile","Human pressures",0.0108796659204583,"juvenile","Presence-Absence"
"SCOMSCO_adult","Human pressures",0.016450023525567,"adult","Presence-Absence"
"LOPHPIS_juvenile","Human pressures",0.0234720875277604,"juvenile","Presence-Absence"
"LOPHPIS_adult","Human pressures",0.0247014339263627,"adult","Presence-Absence"
"TRIGLUC_juvenile","Human pressures",0.0307189034234376,"juvenile","Presence-Absence"
"TRIGLUC_adult","Human pressures",0.0377346487551524,"adult","Presence-Absence"
"TRISCAP_juvenile","Human pressures",0.00257242495800168,"juvenile","Presence-Absence"
"TRISCAP_adult","Human pressures",0.00165355628066617,"adult","Presence-Absence"
"SPICFLE_juvenile","Human pressures",0.0136114200143946,"juvenile","Presence-Absence"
"SPICFLE_adult","Human pressures",0.0307640016972533,"adult","Presence-Absence"
"SPICSMA_juvenile","Human pressures",0.000995799757625005,"juvenile","Presence-Absence"
"SPICSMA_adult","Human pressures",0.00417486333848224,"adult","Presence-Absence"
"SOLEVUL_juvenile","Human pressures",0.0119086933468631,"juvenile","Presence-Absence"
"SOLEVUL_adult","Human pressures",0.0103637131079756,"adult","Presence-Absence"
"RAJACLA_juvenile","Human pressures",0.0568043593724769,"juvenile","Presence-Absence"
"RAJACLA_adult","Human pressures",0.0558025991521024,"adult","Presence-Absence"
"ARNOLAT_adult","Human pressures",0.00154151490206114,"adult","Presence-Absence"
"BLENOCE_juvenile","Human pressures",0.00539825378831371,"juvenile","Presence-Absence"
"CAPOAPE_juvenile","Human pressures",0.00271361895174315,"juvenile","Presence-Absence"
"CAPOAPE_adult","Human pressures",0.00503742310794052,"adult","Presence-Absence"
"CEPOMAC_adult","Human pressures",0.00609266639461282,"adult","Presence-Absence"
"CONGCON_adult","Human pressures",0.00205273953552345,"adult","Presence-Absence"
"GOBIQUA_adult","Human pressures",0.00160074346586267,"adult","Presence-Absence"
"LEPTCAV_juvenile","Human pressures",0.0012824367381371,"juvenile","Presence-Absence"
"LEPTCAV_adult","Human pressures",0.0023424920996986,"adult","Presence-Absence"
"SERAHEP_juvenile","Human pressures",0.0041913603802676,"juvenile","Presence-Absence"
"SERAHEP_adult","Human pressures",0.00338907036915557,"adult","Presence-Absence"
"TRAHDRA_adult","Human pressures",0.00425035089701517,"adult","Presence-Absence"
"URANSCA_adult","Human pressures",0.00546321095343663,"adult","Presence-Absence"
"ARNORUP_adult","Human pressures",0.00603906625514416,"adult","Presence-Absence"
"ARNOTHO_juvenile","Human pressures",0.00122697139602276,"juvenile","Presence-Absence"
"GADIARG_adult","Human pressures",0.0111100350551735,"adult","Presence-Absence"
"LEPICAU_adult","Human pressures",0.0105909600564269,"adult","Presence-Absence"
"MACOSCO_adult","Human pressures",0.00529026250626959,"adult","Presence-Absence"
"SERACAB_juvenile","Human pressures",0.00488332144378585,"juvenile","Presence-Absence"
"SERACAB_adult","Human pressures",0.00607714187444292,"adult","Presence-Absence"
"SCORNOT_adult","Human pressures",0.00273079211905475,"adult","Presence-Absence"
"ARGRHEM_adult","Human pressures",0.00517122769487878,"adult","Presence-Absence"
"LAMACRO_juvenile","Human pressures",0.0032673932149855,"juvenile","Presence-Absence"
"LAMACRO_adult","Human pressures",0.0048876860330543,"adult","Presence-Absence"
"NEZUAEQ_juvenile","Human pressures",0.00440142340201197,"juvenile","Presence-Absence"
"COELCOE_juvenile","Human pressures",0.00469980428037725,"juvenile","Presence-Absence"
"HYMEITA_adult","Human pressures",0.00464591163123484,"adult","Presence-Absence"
"CALMPHA_juvenile","Human pressures",0.019236269796051,"juvenile","Presence-Absence"
"CALMPHA_adult","Human pressures",0.0141703667615275,"adult","Presence-Absence"
"RAJAAST_adult","Human pressures",0.0311466046045732,"adult","Presence-Absence"
"TRIGLYR_juvenile","Human pressures",0.00247732678096115,"juvenile","Presence-Absence"
"SCORSCO_adult","Human pressures",0.0198213042816914,"adult","Presence-Absence"
"RAJAMIR_juvenile","Human pressures",0.0303748994116231,"juvenile","Presence-Absence"
"RAJAPOL_juvenile","Human pressures",0.0975204084901865,"juvenile","Presence-Absence"
"RAJAPOL_adult","Human pressures",0.0893439311690317,"adult","Presence-Absence"
"EUTRGUR_juvenile","Human pressures",0.00292090038732838,"juvenile","Presence-Absence"
"EUTRGUR_adult","Human pressures",0.00487646288074832,"adult","Presence-Absence"
"SQUABLA_juvenile","Human pressures",0.0460148240316973,"juvenile","Presence-Absence"
"SQUABLA_adult","Human pressures",0.0563329831994867,"adult","Presence-Absence"
"RAJABRA_juvenile","Human pressures",0.0966438929804584,"juvenile","Presence-Absence"
"SPRASPR_adult","Human pressures",0.0003773920640022,"adult","Presence-Absence"
"DIAPMET_adult","Human pressures",0.00601230295021389,"adult","Presence-Absence"
"GONODEN_adult","Human pressures",0.0165347622228669,"adult","Presence-Absence"
"ETMOSPI_juvenile","Year",0.135555331703934,"juvenile","Presence-Absence"
"ETMOSPI_adult","Year",0.115604602164407,"adult","Presence-Absence"
"GALUMEL_juvenile","Year",0.0124109781272497,"juvenile","Presence-Absence"
"GALUMEL_adult","Year",0.00790731605432844,"adult","Presence-Absence"
"HELIDAC_juvenile","Year",0.00248370043010072,"juvenile","Presence-Absence"
"HELIDAC_adult","Year",0.00776740969268355,"adult","Presence-Absence"
"LOPHBUD_juvenile","Year",0.0121562967502326,"juvenile","Presence-Absence"
"LOPHBUD_adult","Year",0.0558463773280835,"adult","Presence-Absence"
"PAGEBOG_juvenile","Year",0.0219740610145511,"juvenile","Presence-Absence"
"PAGEBOG_adult","Year",0.0379791665017317,"adult","Presence-Absence"
"PHYIBLE_juvenile","Year",0.0172959998152988,"juvenile","Presence-Absence"
"PHYIBLE_adult","Year",0.0177960002245576,"adult","Presence-Absence"
"TRACTRA_juvenile","Year",0.0321006334101754,"juvenile","Presence-Absence"
"TRACTRA_adult","Year",0.0130292969017935,"adult","Presence-Absence"
"SCYOCAN_juvenile","Year",0.0181312171231706,"juvenile","Presence-Absence"
"SCYOCAN_adult","Year",0.0172149182496562,"adult","Presence-Absence"
"TORPMAR_juvenile","Year",0.406212963993371,"juvenile","Presence-Absence"
"BOOPBOO_juvenile","Year",0.212633583138387,"juvenile","Presence-Absence"
"BOOPBOO_adult","Year",0.308016321227247,"adult","Presence-Absence"
"MERLMER_juvenile","Year",0.00299942058339161,"juvenile","Presence-Absence"
"MERLMER_adult","Year",0.00446028686922578,"adult","Presence-Absence"
"MULLSUR_juvenile","Year",0.0404992406694945,"juvenile","Presence-Absence"
"MULLSUR_adult","Year",0.00444937325342646,"adult","Presence-Absence"
"PAGEACA_juvenile","Year",0.00461220365648179,"juvenile","Presence-Absence"
"PAGEACA_adult","Year",0.00188181003395096,"adult","Presence-Absence"
"SCOMPNE_juvenile","Year",0.90793682268767,"juvenile","Presence-Absence"
"SCOMPNE_adult","Year",0.884418497108432,"adult","Presence-Absence"
"MULLBAR_juvenile","Year",0.00896710537689141,"juvenile","Presence-Absence"
"MULLBAR_adult","Year",0.013391146500742,"adult","Presence-Absence"
"PAGEERY_juvenile","Year",0.00383632152210922,"juvenile","Presence-Absence"
"PAGEERY_adult","Year",0.00295311974649455,"adult","Presence-Absence"
"SPARPAG_juvenile","Year",0.0217740665392937,"juvenile","Presence-Absence"
"SPARPAG_adult","Year",0.0052891469763055,"adult","Presence-Absence"
"TRIPLAS_juvenile","Year",0.00831096670660491,"juvenile","Presence-Absence"
"TRIPLAS_adult","Year",0.0140958651535622,"adult","Presence-Absence"
"ASPICUC_juvenile","Year",0.00718405638093512,"juvenile","Presence-Absence"
"ASPICUC_adult","Year",0.00322214941024604,"adult","Presence-Absence"
"CITHMAC_juvenile","Year",0.00297666186964704,"juvenile","Presence-Absence"
"CITHMAC_adult","Year",0.00277328401899283,"adult","Presence-Absence"
"TRACMED_juvenile","Year",0.0104713099514565,"juvenile","Presence-Absence"
"TRACMED_adult","Year",0.0160120895843551,"adult","Presence-Absence"
"RAJAOXY_adult","Year",0.0454768924351212,"adult","Presence-Absence"
"MICMPOU_juvenile","Year",0.0251631292332553,"juvenile","Presence-Absence"
"MICMPOU_adult","Year",0.0321915178030107,"adult","Presence-Absence"
"ENGRENC_juvenile","Year",0.36861373281068,"juvenile","Presence-Absence"
"ENGRENC_adult","Year",0.413641147368503,"adult","Presence-Absence"
"DIPLVUL_adult","Year",0.310248228430662,"adult","Presence-Absence"
"LEPMBOS_juvenile","Year",0.00740666269012772,"juvenile","Presence-Absence"
"LEPMBOS_adult","Year",0.00136698900443201,"adult","Presence-Absence"
"DIPLANN_juvenile","Year",0.17532718785761,"juvenile","Presence-Absence"
"DIPLANN_adult","Year",0.3213495003187,"adult","Presence-Absence"
"SARDPIL_juvenile","Year",0.499087655923927,"juvenile","Presence-Absence"
"SARDPIL_adult","Year",0.517790947413798,"adult","Presence-Absence"
"SCYMLIC_adult","Year",0.0782886014234916,"adult","Presence-Absence"
"ZEUSFAB_juvenile","Year",0.0108617579994923,"juvenile","Presence-Absence"
"ZEUSFAB_adult","Year",0.00266182122204912,"adult","Presence-Absence"
"SPICMAE_adult","Year",0.638604491164646,"adult","Presence-Absence"
"SCOMSCO_juvenile","Year",0.460815602343218,"juvenile","Presence-Absence"
"SCOMSCO_adult","Year",0.338438130959232,"adult","Presence-Absence"
"LOPHPIS_juvenile","Year",0.0554798412905084,"juvenile","Presence-Absence"
"LOPHPIS_adult","Year",0.0493649043278613,"adult","Presence-Absence"
"TRIGLUC_juvenile","Year",0.113974429539308,"juvenile","Presence-Absence"
"TRIGLUC_adult","Year",0.146167377806085,"adult","Presence-Absence"
"TRISCAP_juvenile","Year",0.00858582089064915,"juvenile","Presence-Absence"
"TRISCAP_adult","Year",0.0016293298948567,"adult","Presence-Absence"
"SPICFLE_juvenile","Year",0.0226608785627221,"juvenile","Presence-Absence"
"SPICFLE_adult","Year",0.0200961979567136,"adult","Presence-Absence"
"SPICSMA_juvenile","Year",0.0204811641799851,"juvenile","Presence-Absence"
"SPICSMA_adult","Year",0.0364587795918156,"adult","Presence-Absence"
"SOLEVUL_juvenile","Year",0.0131102531943678,"juvenile","Presence-Absence"
"SOLEVUL_adult","Year",0.00712276775061915,"adult","Presence-Absence"
"RAJACLA_juvenile","Year",0.00413842644911314,"juvenile","Presence-Absence"
"RAJACLA_adult","Year",0.00610906036607744,"adult","Presence-Absence"
"ARNOLAT_adult","Year",0.42788098886248,"adult","Presence-Absence"
"BLENOCE_juvenile","Year",0.317394811656038,"juvenile","Presence-Absence"
"CAPOAPE_juvenile","Year",0.43785128139088,"juvenile","Presence-Absence"
"CAPOAPE_adult","Year",0.423654372884226,"adult","Presence-Absence"
"CEPOMAC_adult","Year",0.375735874203086,"adult","Presence-Absence"
"CONGCON_adult","Year",0.680976703590021,"adult","Presence-Absence"
"GOBIQUA_adult","Year",0.285866030943572,"adult","Presence-Absence"
"LEPTCAV_juvenile","Year",0.25070265433837,"juvenile","Presence-Absence"
"LEPTCAV_adult","Year",0.247911305312056,"adult","Presence-Absence"
"SERAHEP_juvenile","Year",0.355193823411973,"juvenile","Presence-Absence"
"SERAHEP_adult","Year",0.330310911667275,"adult","Presence-Absence"
"TRAHDRA_adult","Year",0.631533234636451,"adult","Presence-Absence"
"URANSCA_adult","Year",0.210943632028088,"adult","Presence-Absence"
"ARNORUP_adult","Year",0.305768382648134,"adult","Presence-Absence"
"ARNOTHO_juvenile","Year",0.312893473585134,"juvenile","Presence-Absence"
"GADIARG_adult","Year",0.551065918493022,"adult","Presence-Absence"
"LEPICAU_adult","Year",0.426364526256117,"adult","Presence-Absence"
"MACOSCO_adult","Year",0.388808011338486,"adult","Presence-Absence"
"SERACAB_juvenile","Year",0.595866927450266,"juvenile","Presence-Absence"
"SERACAB_adult","Year",0.636042343713075,"adult","Presence-Absence"
"SCORNOT_adult","Year",0.659032382441286,"adult","Presence-Absence"
"ARGRHEM_adult","Year",0.439187142541171,"adult","Presence-Absence"
"LAMACRO_juvenile","Year",0.422286341227783,"juvenile","Presence-Absence"
"LAMACRO_adult","Year",0.349756764742323,"adult","Presence-Absence"
"NEZUAEQ_juvenile","Year",0.46904860614236,"juvenile","Presence-Absence"
"COELCOE_juvenile","Year",0.551388912464294,"juvenile","Presence-Absence"
"HYMEITA_adult","Year",0.358061864803047,"adult","Presence-Absence"
"CALMPHA_juvenile","Year",0.310703435184677,"juvenile","Presence-Absence"
"CALMPHA_adult","Year",0.247505633942497,"adult","Presence-Absence"
"RAJAAST_adult","Year",0.125485695657481,"adult","Presence-Absence"
"TRIGLYR_juvenile","Year",0.140819937640579,"juvenile","Presence-Absence"
"SCORSCO_adult","Year",0.643907786209478,"adult","Presence-Absence"
"RAJAMIR_juvenile","Year",0.0694452000944266,"juvenile","Presence-Absence"
"RAJAPOL_juvenile","Year",0.200160966957448,"juvenile","Presence-Absence"
"RAJAPOL_adult","Year",0.147082424485414,"adult","Presence-Absence"
"EUTRGUR_juvenile","Year",0.00123229006149195,"juvenile","Presence-Absence"
"EUTRGUR_adult","Year",0.00131574478808183,"adult","Presence-Absence"
"SQUABLA_juvenile","Year",0.081325304966525,"juvenile","Presence-Absence"
"SQUABLA_adult","Year",0.114707811584197,"adult","Presence-Absence"
"RAJABRA_juvenile","Year",0.158813142723457,"juvenile","Presence-Absence"
"SPRASPR_adult","Year",0.593278539705437,"adult","Presence-Absence"
"DIAPMET_adult","Year",0.0152964452103881,"adult","Presence-Absence"
